,image,stock_info,title,price,date
0,https://yeppeuda.mk/uploads/products/404/md_637e023f7ea92.jpg,AVAILABLE,Daily Sun Care Cream 50ml,1160,2023-04-19
1,https://yeppeuda.mk/uploads/products/403/md_637d6720c3002.jpg,AVAILABLE,Vita A Bakuchiol Youth Serum 40ml,1190,2023-04-19
2,https://yeppeuda.mk/uploads/products/402/md_6363aacd6c802.jpg,AVAILABLE,Tiam Vita A Bakuchiol Firming Eye Cream 30ml,1190,2023-04-19
3,https://yeppeuda.mk/uploads/products/365/md_62d6796f606e4.jpg,SOLD OUT,My signature C cream,1360,2023-04-19
4,https://yeppeuda.mk/uploads/products/332/md_621519542797d.jpg,AVAILABLE,TIA'M - Hyaluronic Water Plumping Serum,1060,2023-04-19
5,https://yeppeuda.mk/uploads/products/289/md_61b54b3208a02.jpg,SOLD OUT,TIA'M - My Signature Vita Red Mask 1,180,2023-04-19
6,https://yeppeuda.mk/uploads/products/288/md_628758881b502.jpg,AVAILABLE,TIA'M - Vita A Anti-Wrinkle Moisturizer 80ml,1360,2023-04-19
7,https://yeppeuda.mk/uploads/products/287/md_62e23dcba0388.jpg,AVAILABLE,TIA'M - Panthenol Moist Cream 50мl,1260,2023-04-19
8,https://yeppeuda.mk/uploads/products/250/md_61adb830c9c01.png,SOLD OUT,SNOWFLAKE BUNDLE,1930,2023-04-19
9,https://yeppeuda.mk/uploads/products/246/md_6184fe9950c30.jpg,AVAILABLE,TIA'M - Vita B3 Mist Toner 200ml,1260,2023-04-19
10,https://yeppeuda.mk/uploads/products/243/md_6167bff84c000.jpg,AVAILABLE,Pore Minimizing 21 Serum 40ml,1260,2023-04-19
11,https://yeppeuda.mk/uploads/products/189/md_62de8632de0b9.jpeg,AVAILABLE,Snail & Azulene Sleeping Mask,1360,2023-04-19
12,https://yeppeuda.mk/uploads/products/171/md_60d7b4140490d.jpeg,AVAILABLE,TIA'M - AC Fighting PHA 12 Purifying Liquid,1360,2023-04-19
13,https://yeppeuda.mk/uploads/products/145/md_63860869e83ec.jpg,AVAILABLE,Pore Minimizing 21 Cream,1280,2023-04-19
14,https://yeppeuda.mk/uploads/products/144/md_608bd3d4c1170.jpg,AVAILABLE,Berry Very Soft Peeling Gel 120ml,1220,2023-04-19
15,https://yeppeuda.mk/uploads/products/143/md_608bd1722884e.jpg,SOLD OUT,My Signature C Source 30ml,1490,2023-04-19
16,https://yeppeuda.mk/uploads/products/142/md_63174b1565090.jpg,AVAILABLE,Snail & Azulene Low pH Cleanser,820,2023-04-19
17,https://yeppeuda.mk/uploads/products/141/md_62de85b19d1f1.jpg,AVAILABLE,Snail & Azulene Water Essence 180ml,920,2023-04-19
18,https://yeppeuda.mk/uploads/products/130/md_606dd6b278bed.jpg,AVAILABLE,Vitamine Blending Powder,690,2023-04-19
19,https://yeppeuda.mk/uploads/products/129/md_642aa00499029.jpg,AVAILABLE,TIAM MY SIGNATURE VITA B5 TONER,840,2023-04-19
20,https://yeppeuda.mk/uploads/products/128/md_606dd4430bd71.jpg,AVAILABLE,TIA'M - Anti Blemish Body Lotion 200ml,1280,2023-04-19
21,https://yeppeuda.mk/uploads/products/127/md_62de900214270.jpg,AVAILABLE,AC Fighting Oil-Free Aqua Cream 80мл,1260,2023-04-19
22,https://yeppeuda.mk/uploads/products/111/md_6059f22dee07e.jpg,AVAILABLE,Arbutin Blending Powder,620,2023-04-19
23,https://yeppeuda.mk/uploads/products/85/md_62e1353406f2f.jpg,AVAILABLE,Vita B3 Source 40ml,1060,2023-04-19
24,https://yeppeuda.mk/uploads/products/84/md_601b37ed4b109.jpg,AVAILABLE,TIAM AC Fighting Spot Rx Cream 30gr,1020,2023-04-19
25,https://yeppeuda.mk/uploads/products/82/md_601b36c280cfe.jpg,SOLD OUT,Centella Blending Powder,620,2023-04-19
26,https://yeppeuda.mk/uploads/products/80/md_628b598b17355.jpg,AVAILABLE,AC Fighting AHA BHA PHA Toner,890,2023-04-19
